Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation
2018/9/8,69,63,66,-1.8,0,1,0
2018/9/9,68,60,64,-3.4,1,0,0
2018/9/10,74,56,65,-2,0,0,0
2018/9/11,79,57,68,1.4,0,3,0
2018/9/12,82,61,71.5,5.3,0,7,0
2018/9/13,78,60,69,3.2,0,4,0
2018/9/14,87,64,75.5,10.1,0,11,0
2018/9/15,82,64,73,8,0,8,0
2018/9/16,89,66,77.5,12.9,0,13,0
2018/9/17,91,69,80,15.9,0,15,0
2018/9/18,75,66,70.5,6.8,0,6,0.1
2018/9/19,76,66,71,7.8,0,6,0.21
2018/9/20,93,66,79.5,16.7,0,15,0
2018/9/21,83,56,69.5,7.2,0,5,0
2018/9/22,64,51,57.5,-4.4,7,0,0
2018/9/23,71,50,60.5,-0.9,4,0,0
2018/9/24,74,57,65.5,4.5,0,1,0.11
2018/9/25,84,61,72.5,11.9,0,8,0.25
2018/9/26,67,50,58.5,-1.6,6,0,0
2018/9/27,70,48,59,-0.7,6,0,0
2018/9/28,60,46,53,-6.2,12,0,0.07
2018/9/29,61,42,51.5,-7.3,13,0,0.02
2018/9/30,62,53,57.5,-0.9,7,0,0.06
2018/10/1,72,57,64.5,6.5,0,0,1.56
2018/10/2,67,58,62.5,4.9,2,0,0.01
2018/10/3,88,59,73.5,16.3,0,9,0.11
2018/10/4,77,52,64.5,7.7,0,0,0.04
2018/10/5,65,54,59.5,3.1,5,0,1.24
2018/10/6,70,57,63.5,7.5,1,0,0.12
2018/10/7,63,57,60,4.4,5,0,0.52
2018/10/8,85,63,74,18.8,0,9,0.15
2018/10/9,85,70,77.5,22.6,0,13,0.01
2018/10/10,75,51,63,8.5,2,0,0.35
2018/10/11,51,40,45.5,-8.7,19,0,0
2018/10/12,42,36,39,-14.8,26,0,0.1
2018/10/13,53,32,42.5,-11,22,0,0
2018/10/14,54,38,46,-7.1,19,0,0.07
2018/10/15,48,37,42.5,-10.3,22,0,0.1
2018/10/16,59,34,46.5,-6,18,0,0
2018/10/17,51,38,44.5,-7.6,20,0,0
2018/10/18,58,34,46,-5.8,19,0,0
2018/10/19,54,46,50,-1.5,15,0,0.03
2018/10/20,51,31,41,-10.2,24,0,0.1
2018/10/21,51,28,39.5,-11.3,25,0,0
2018/10/22,64,38,51,0.5,14,0,0
2018/10/23,54,38,46,-4.2,19,0,0
2018/10/24,52,37,44.5,-5.3,20,0,0
2018/10/25,53,37,45,-4.5,20,0,0
2018/10/26,53,46,49.5,0.3,15,0,0
2018/10/27,54,43,48.5,-0.3,16,0,0.11
2018/10/28,51,44,47.5,-1,17,0,0.12
2018/10/29,56,40,48,-0.1,17,0,0
2018/10/30,64,45,54.5,6.8,10,0,0.3
2018/10/31,61,47,54,6.6,11,0,0.17
